                ,pos_z
         0.55414,     -3.63309e-5
         0.55514,     -3.64655e-5
         0.55614,     -3.66116e-5
         0.55714,     -3.67593e-5
         0.55814,     -3.68988e-5
         0.55914,     -3.70398e-5
         0.56014,     -3.71824e-5
         0.56114,     -3.73266e-5
         0.56214,     -3.74626e-5
         0.56314,     -3.75903e-5
         0.56414,     -3.77197e-5
         0.56514,     -3.78506e-5
         0.56614,     -3.79733e-5
         0.56714,     -3.80877e-5
         0.56814,     -3.82038e-5
         0.56914,     -3.83312e-5
         0.57014,     -3.84603e-5
         0.57114,     -3.85811e-5
         0.57214,     -3.87035e-5
         0.57314,     -3.88275e-5
         0.57414,     -3.89531e-5
         0.57514,     -3.90704e-5
         0.57614,     -3.91795e-5
         0.57714,     -3.92902e-5
         0.57814,     -3.94025e-5
         0.57914,     -3.95164e-5
         0.58014,     -3.96221e-5
         0.58114,     -3.97293e-5
         0.58214,      -3.9848e-5
         0.58314,     -3.99682e-5
         0.58414,     -4.00802e-5
         0.58514,      -4.0184e-5
         0.58614,     -4.02894e-5
         0.58714,     -4.03963e-5
         0.58814,     -4.04951e-5
         0.58914,     -4.05954e-5
         0.59014,     -4.06973e-5
         0.59114,     -4.08106e-5
         0.59214,     -4.09255e-5
         0.59314,     -4.10322e-5
         0.59414,     -4.11405e-5
         0.59514,     -4.12602e-5
         0.59614,     -4.13814e-5
         0.59714,     -4.14945e-5
         0.59814,     -4.16091e-5
         0.59914,     -4.17254e-5
         0.60014,      -4.1853e-5
         0.60114,     -4.19822e-5
         0.60214,     -4.21131e-5
         0.60314,     -4.22553e-5
         0.60414,     -4.23992e-5
         0.60514,     -4.25446e-5
         0.60614,     -4.26916e-5
         0.60714,     -4.28501e-5
         0.60814,       -4.302e-5
         0.60914,     -4.31914e-5
         0.61014,     -4.33645e-5
         0.61114,     -4.35293e-5
         0.61214,     -4.36957e-5
         0.61314,     -4.38637e-5
         0.61414,     -4.40333e-5
         0.61514,     -4.42045e-5
         0.61614,     -4.43772e-5
         0.61714,     -4.45516e-5
         0.61814,     -4.47276e-5
         0.61914,     -4.49051e-5
         0.62014,     -4.50842e-5
         0.62114,     -4.52748e-5
         0.62214,     -4.54669e-5
         0.62314,     -4.56607e-5
         0.62414,      -4.5856e-5
         0.62514,     -4.60628e-5
         0.62614,     -4.62711e-5
         0.62714,     -4.64712e-5
         0.62814,     -4.66729e-5
         0.62914,     -4.68861e-5
         0.63014,     -4.71106e-5
